Death No.,Season,Episode,Victim_Allegiance,Character_ID,Character_Name,Victim,Method,Location,Victim URL,Location_ID
130,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
131,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
132,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
133,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
134,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
135,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
136,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
137,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
138,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
139,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
140,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
141,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
142,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Flaming arrow,King's Landing,,
143,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Boulder,King's Landing,,
144,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Arrow,King's Landing,,
145,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Arrow,King's Landing,,
146,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Axe,King's Landing,,
147,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Axe,King's Landing,,
148,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Axe,King's Landing,,
149,2,9,House Baratheon of Dragonstone,CH215,"Sandor ""The Hound"" Clegane",Baratheon of Dragonstone soldier,Sword,King's Landing,,
150,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Sword,King's Landing,,
151,2,9,House Baratheon of Dragonstone,CH215,"Sandor ""The Hound"" Clegane",Baratheon of Dragonstone soldier,Sword,King's Landing,,
152,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Sword,King's Landing,,
153,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Axe,King's Landing,,
154,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Hands,King's Landing,,
155,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Arrow,King's Landing,,
156,2,9,House Baratheon of Dragonstone,CH031,Bronn,Baratheon of Dragonstone soldier,Knife,King's Landing,,
157,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Fire,King's Landing,,
158,2,9,House Baratheon of King's Landing,CH229,Stannis Baratheon,Baratheon of King's Landing soldier,Sword,King's Landing,,
159,2,9,House Baratheon of King's Landing,CH229,Stannis Baratheon,Baratheon of King's Landing soldier,Sword,King's Landing,,
160,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Boulder,King's Landing,,
161,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Boulder,King's Landing,,
162,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Arrow,King's Landing,,
163,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Arrow,King's Landing,,
164,2,9,House Baratheon of Dragonstone,CH256,Tyrion Lannister,Baratheon of Dragonstone soldier,Axe,King's Landing,,
165,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Sword,King's Landing,,
166,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Not Available,King's Landing,,
167,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Sword,King's Landing,,
168,2,9,House Baratheon of King's Landing,CH229,Stannis Baratheon,Baratheon of King's Landing soldier,Sword,King's Landing,,
169,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Bludgeon,King's Landing,,
170,2,9,House Baratheon of King's Landing,CH229,Stannis Baratheon,Baratheon of King's Landing soldier,Sword,King's Landing,,
171,2,9,House Moore,CH183,Podrick Payne,Mandon Moore,Spear,King's Landing,,
172,2,9,House Baratheon of King's Landing,CH015,Baratheon of Dragonstone soldier,Baratheon of King's Landing soldier,Sword,King's Landing,,
173,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Not Available,King's Landing,,
174,2,9,House Baratheon of Dragonstone,CH130,Loras Tyrell,Baratheon of Dragonstone soldier,Sword,King's Landing,,
175,2,9,House Baratheon of Dragonstone,CH130,Loras Tyrell,Baratheon of Dragonstone soldier,Sword,King's Landing,,
176,2,9,House Baratheon of Dragonstone,CH130,Loras Tyrell,Baratheon of Dragonstone soldier,Sword,King's Landing,,
177,2,9,House Baratheon of Dragonstone,CH122,Lannister soldier,Baratheon of Dragonstone soldier,Sword,King's Landing,,
178,2,9,House Baratheon of Dragonstone,CH130,Loras Tyrell,Baratheon of Dragonstone soldier,Sword,King's Landing,,
179,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Arrow,King's Landing,,
180,2,9,House Baratheon of Dragonstone,CH016,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,Arrow,King's Landing,,
181,2,10,House Stark,CH030,Brienne of Tarth,Stark Soldier,Sword,Not Available,,
182,2,10,House Stark,CH030,Brienne of Tarth,Stark Soldier,Sword,Not Available,,
183,2,10,House Stark,CH030,Brienne of Tarth,Stark Soldier,Sword,Not Available,,
184,2,10,House Stark,CH175,Osha,Maester Luwin,Knife,Winterfell,,
185,2,10,Warlocks of Qarth,CH044,Daenerys Targaryen,Pyat Pree,Dragonfire (Dragon),Qarth,,
186,2,10,Night's Watch,CH105,Jon Snow,Qhorin Halfhand,Sword,Beyond the Wall,,
187,2,10,The Thirteen,CH044,Daenerys Targaryen,Xaro Xhoan Daxos,Sealed into vault,Qarth,,
188,2,10,House Targaryen,CH044,Daenerys Targaryen,Doreah,Sealed into vault,Qarth,,
189,3,1,None,CH019,Barristan Selmy,Manticore,Knife,Astapor,,
190,3,2,House Tully,CH167,None,Hoster Tully,Illness,Riverrun,,
191,3,3,House Bolton,CH194,Ramsay Bolton,Bolton soldier,Arrow,Dreadfort,,
192,3,3,House Bolton,CH194,Ramsay Bolton,Bolton soldier,Arrow,Dreadfort,,
193,3,3,House Bolton,CH194,Ramsay Bolton,Bolton soldier,Arrow,Dreadfort,,
194,3,3,House Bolton,CH194,Ramsay Bolton,Bolton soldier,Arrow,Dreadfort,,
195,3,4,Night's Watch,CH167,None,Bannen,Broken foot,Beyond the Wall,,
196,3,4,Night's Watch,CH109,Karl Tanner,Craster,Knife,Beyond the Wall,,
197,3,4,Night's Watch,CH196,Rast,Jeor Mormont,Knife,Beyond the Wall,,
198,3,4,Brotherhood Without Banners,CH215,"Sandor ""The Hound"" Clegane",Beric Dondarrion,Sword,Hollow Hill,,
199,3,4,Good Masters,CH263,Unsullied,Astapor slaver,Spear,Astapor,,
200,3,4,Good Masters,CH263,Unsullied,Astapor slaver,Spear,Astapor,,
201,3,4,Good Masters,CH044,Daenerys Targaryen,Kraznys mo Nakloz,Dragonfire (Dragon),Astapor,,
202,3,4,Good Masters,CH263,Unsullied,Astapor soldier,Spear,Astapor,,
203,3,4,Good Masters,CH263,Unsullied,Astapor soldier,Spear,Astapor,,
204,3,4,Good Masters,CH263,Unsullied,Astapor soldier,Spear,Astapor,,
205,3,4,Good Masters,CH263,Unsullied,Astapor slaver,Spear,Astapor,,
206,3,5,House Stark,CH111,Karstark soldier,Stark Soldier,Sword,Riverrun,,
207,3,5,House Lannister,CH111,Karstark soldier,Willem Lannister,Not Available,Riverrun,,
208,3,5,House Lannister,CH204,Rickard Karstark,Martyn Lannister,Knife,Riverrun,,
209,3,5,House Stark,CH207,Robb Stark,Rickard Karstark,Sword,Riverrun,,
210,3,6,Free Folk,CH167,None,Wildling,Falling,The Wall,,
211,3,6,Free Folk,CH167,None,Wildling,Falling,The Wall,,
212,3,6,Free Folk,CH167,None,Wildling,Falling,The Wall,,
213,3,6,Free Folk,CH167,None,Wildling,Falling,The Wall,,
214,3,6,Free Folk,CH167,None,Wildling,Falling,The Wall,,
215,3,6,Free Folk,CH167,None,Wildling,Falling,The Wall,,
216,3,6,House Baelish,CH102,Joffrey Baratheon,Ros,Arrow,King's Landing,,
217,3,8,None,CH229,Stannis Baratheon,Leech,Fire,Dragonstone,,
218,3,8,None,CH229,Stannis Baratheon,Leech,Fire,Dragonstone,,
219,3,8,None,CH229,Stannis Baratheon,Leech,Fire,Dragonstone,,
220,3,8,Second Sons,CH043,Daario Naharis,Mero,Not Available,Yunkai,,
221,3,8,Second Sons,CH043,Daario Naharis,Prendahl na Ghezn,Not Available,Yunkai,,
222,3,8,None,CH214,Sam Tarly,White Walker,Dragonglass,Beyond the Wall,,
223,3,9,Night's Watch,CH286,Ygritte,Horse breeder,Arrow,The Gift,,
224,3,9,Free Folk,CH105,Jon Snow,Wildling,Sword,The Gift,,
225,3,9,Free Folk,CH236,Summer,Wildling,Teeth,The Gift,,
226,3,9,Free Folk,CH222,Shaggydog,Wildling,Teeth,The Gift,,
227,3,9,Free Folk,CH105,Jon Snow,Orell,Sword,The Gift,,
228,3,9,Wise Masters,CH106,Jorah Mormont,Yunkai soldier,Sword,Yunkai,,
229,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Arakh,Yunkai,,
230,3,9,Wise Masters,CH080,Grey Worm,Yunkai soldier,Spear,Yunkai,,
231,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Arakh,Yunkai,,
232,3,9,Wise Masters,CH106,Jorah Mormont,Yunkai soldier,Sword,Yunkai,,
233,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Arakh,Yunkai,,
234,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Arakh,Yunkai,,
235,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Arakh,Yunkai,,
236,3,9,Wise Masters,CH080,Grey Worm,Yunkai soldier,Spear,Yunkai,,
237,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Knife,Yunkai,,
238,3,9,Wise Masters,CH043,Daario Naharis,Yunkai soldier,Arakh,Yunkai,,
239,3,9,House Stark,CH131,Lothar Frey,Unborn Stark child,Knife,The Twins,,
240,3,9,House Stark,CH131,Lothar Frey,Talisa Stark,Knife,The Twins,,
241,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Arrow,The Twins,,
242,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
243,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Arrow,The Twins,,
244,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Arrow,The Twins,,
245,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
246,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Arrow,The Twins,,
247,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
248,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
249,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
250,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
251,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
252,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
253,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
254,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
255,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
256,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
257,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
258,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
259,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
260,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
261,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Sword,The Twins,,
262,3,9,House Stark,CH064,Frey soldier,Grey Wind,Arrow,The Twins,,
263,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
264,3,9,House Stark,CH064,Frey soldier,Stark Soldier,Knife,The Twins,,
265,3,9,House Stark,CH211,Roose Bolton,Robb Stark,Knife,The Twins,,
266,3,9,House Frey,CH034,Catelyn Stark,Joyeuse Frey,Knife,The Twins,,
267,3,9,House Stark,CH272,Walder Rivers,Catelyn Stark,Knife,The Twins,,
268,3,10,House Stark,CH064,Frey soldier,Stark Soldier,Sword,The Twins,,
269,3,10,House Stark,CH064,Frey soldier,Stark Soldier,Hanging,The Twins,,
270,3,10,House Stark,CH064,Frey soldier,Stark Soldier,Sword,The Twins,,
271,3,10,House Frey,CH008,Arya Stark,Frey soldier,Knife,Riverlands,,
272,3,10,House Frey,CH215,"Sandor ""The Hound"" Clegane",Frey soldier,Sword,Riverlands,,
273,3,10,House Frey,CH215,"Sandor ""The Hound"" Clegane",Frey soldier,Sword,Riverlands,,
274,3,10,House Frey,CH215,"Sandor ""The Hound"" Clegane",Frey soldier,Sword,Riverlands,,
275,4,1,House Baratheon of King's Landing,CH215,"Sandor ""The Hound"" Clegane",Baratheon of King's Landing soldier,Sword,Riverlands,,
276,4,1,House Baratheon of King's Landing,CH215,"Sandor ""The Hound"" Clegane",Lowell (King's Soldier),Knife,Riverlands,,
277,4,1,House Baratheon of King's Landing,CH008,Arya Stark,Baratheon of King's Landing soldier,Sword,Riverlands,,
278,4,1,House Baratheon of King's Landing,CH215,"Sandor ""The Hound"" Clegane",Baratheon of King's Landing soldier,Sword,Riverlands,,
279,4,1,House Baratheon of King's Landing,CH008,Arya Stark,Polliver,Sword,Riverlands,,
280,4,2,Smallfolk,CH194,Ramsay Bolton,Tansy,Dogs,Dreadfort,,
