Character_ID,Character_Name,Species,House,Parents,Siblings,Spouse,Children,Status,Weapon of Choice,Place of Death,Notable Kills,Lore,ImageURL,House_URL
CH011,Axell Florent,Human,House Florent,Not Available,Alester Florent,Not Available,Not Available,Dead,Not Available,Dragonstone,Not Available,"An ambitious noble from House Florent, uncle to Queen Selyse. He seeks influence in Stannis Baratheon's court, often clashing with Davos Seaworth.",,
CH012,Baelish soldier,Human,House Baelish,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,King's Landing,Not Available,"He bore no name in the songs, no coat of arms upon his chest. He wore the mocking bird of Littlefinger, and that was cause enough for distrust.
In shadowed halls and behind stone walls, he served a master who smiled with knives. Whether in the Vale, the Fingers, or King’s Landing, these men moved like whispers—quiet, loyal, and paid.
When the schemes collapsed and the spider’s web burned, many such men vanished with their master’s ambition—forgotten, unmarked, but dangerous all the same.",,
CH013,Balon House Greyjoy,Human,House Greyjoy,Quellon Greyjoy,"Euron Greyjoy, Victarion Greyjoy",Alannys Harlaw,"Theon, Yara, Rodrik, Maron",Dead,Not Available,Pyke,Not Available,"Lord of the Iron Islands and father to Theon. A proud and unyielding ruler, he declares independence from the Iron Throne, reigniting old conflicts.",,
CH014,Bannen,Human,Night's Watch,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Beyond the Wall,Not Available,"A ranger of the Night's Watch, remembered for his bravery beyond the Wall. His disappearance adds to the growing tales of dread from the north.",,
CH015,Baratheon of Dragonstone soldier,Human,House Baratheon,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Stormlands,Not Available,"Clad in black and gold, these men marched beneath the stag and flame, loyal to the Lord of Dragonstone, Stannis Baratheon.
They followed him through ash and shadow, through Blackwater’s fire and the icy wastes of the North. Stern of face and sharp of sword, they were not men of laughter or song, but duty—unyielding, unrelenting.
Many burned for their king’s cause—some by blade, others by the fires of R’hllor. They were not remembered in glory, but in the smoke that clung to every step Stannis took toward doom.",,
CH016,Baratheon of King's Landing soldier,Human,House Baratheon,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,King's Landing,Not Available,"The red and gold cloaks of King’s Landing bore the crown stag of House Baratheon during Robert’s reign, though few held his spirit.
They swaggered in the shadow of power, half guards, half brutes. When Robert fell, they bent like reeds in the wind—first to Joffrey, then to fear, then to whoever wore the crown.
Their loyalty was not to a king, but to survival. And when the lion roared louder than the stag, they changed their tune to match the court’s cruel music.",,
CH017,Baratheon of Storm's End guard,Human,House Baratheon,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Storm's End,Not Available,"A loyal soldier serving House Baratheon at Storm's End, standing firm during sieges and embodying the resilience of the Stormlands.",,
CH018,Barra (Baratheon illegitimate son),Human,House Baratheon,"Robert Baratheon, Mhaegen",Gendry (half-brother),None,None,Dead,Not Available,King's Landing,Not Available,"A young girl, one of King Robert's many bastards. Her existence is a testament to Robert's indiscretions and the perilous lives of illegitimate children in noble games.​",,
CH019,Barristan Selmy,Human,House Selmy,Ser Lyonel Selmy,Not Available,None,None,Dead,Sword,Meereen,Sons of the Harpy,"Barristan the Bold, the last true knight of Westeros, stood tall even as kingdoms crumbled.
A member of the Kingsguard from youth, he served Targaryens and Baratheons alike, his blade unsullied by politics or pride.
Dismissed by a boy king with no honor, he crossed the Narrow Sea and pledged himself once more to House Targaryen—not for ambition, but for justice.
In Meereen, he stood beside Daenerys, sword in hand, heart still noble. He died as he lived—not in bed, not in retreat, but with sword drawn, surrounded by foes, fighting for a queen who sought to break the wheel.",,
CH020,Belicho Paenymion,Human,House Paenymion,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Meereen,Not Available,"A member of Meereen's ruling elite, resistant to Daenerys's reforms. His opposition marks him as an obstacle to the city's transformation.",,
CH021,Benjen Stark,Human,House Stark,"Rickard Stark, Lyarra Stark","Eddard, Brandon, Lyanna Stark",None,None,Dead,Not Available,Beyond the Wall,Not Available,First Ranger of the Night's Watch and brother to Eddard Stark. His mysterious disappearance beyond the Wall sparks concern and speculation.,,
CH022,Beric Dondarrion,Human,House Dondarrion,Lord Simon Dondarrion,Not Available,None,None,Dead..,Flaming sword,The Stormlands,Not Available,"The Lightning Lord of Blackhaven, once a knight in shining armor, was struck down and struck down again—and each time, the Lord of Light brought him back.
His eye lost, his flesh scarred, Beric became more ghost than man. He walked through darkness with a flaming sword and a hollowed soul.
He led the Brotherhood Without Banners, fighting not for lords or glory, but for the people crushed beneath the boots of war.
At the end, he gave his final life so others could live—his last resurrection a gift to the realm, paid with fire and faith.",,
CH023,Billy,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Winterfell,Not Available,"A minor figure whose deeds are scarcely recorded, yet his presence contributes to the vast tapestry of Westeros's history.",,
CH024,Biter,Human,Not Available,Not Available,Not Available,None,None,Dead,Not Available,Riverlands,Lommy Greenhands,"A grotesque and violent criminal, known for his disfigured appearance and savage behavior. He roams with Rorge, spreading fear wherever they go.",,
CH025,Boar,Boar,Not Available,Not Available,Not Available,Not Available,Tusks,Dead,Not Available,The Kingswood,Not Available,"It was no mere beast that felled King Robert Baratheon. The great boar of the Kingswood was a tusked omen, a wrathful avatar of the old gods or perhaps the gods’ justice for a usurper grown fat and slow.
They said it gored the king through the belly, its rage unshaken by blade or crown. Some whispered that wine loosened Robert’s grip, others that poison made his veins run slow.
Whatever the truth, the boar did what armies and assassins could not—it ended the stag's reign with tusk and fury. Its carcass was feasted upon, but its legacy lingered in the blood that stained the Iron Throne.",,
CH026,Hound,Dog,House Bolton,Not Available,Not Available,Not Available,Teeth,Dead,Not Available,King's Landing,Not Available,Savage hunting dog.,,
CH027,Bolton heir,Human,House Bolton,Roose Bolton,Not Available,Not Available,Not Available,Dead,Not Available,Winterfell,Not Available,"The successor to House Bolton, notorious for their flayed man sigil and brutal methods. His rise signifies a dark chapter in the North's history.",,
CH028,Bolton soldier,Human,House Bolton,Not Available,Not Available,Not Available,Not Available,Not Available,Standard melee weapons (typically sword or spear),Winterfell,Not Available,"In flayed leathers and cruel smiles, the men of House Bolton served not loyalty but terror.
They marched beneath the flayed man, practiced in torture, masters of fear. Whether roasting captives or skinning rebels, they did not just kill—they unmade.
When Roose Bolton rose, these men were his shadow. When Ramsay ruled, they became monsters in the shape of men.
But fear is a fickle master. When Winterfell burned and the wolves returned, these soldiers were hunted, one by one, their screams swallowed by the snows they once ruled.",,
CH029,Bowen Marsh,Human,Night's Watch,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Castle Black,Not Available,The cautious and traditional First Steward of the Night's Watch. His resistance to change leads to pivotal decisions affecting the Watch's future.,,
CH030,Brienne of Tarth,Human,House Tarth,Selwyn Tarth,Dead,None,None,Alive,Oathkeeper,Not Available,Sandor Clegane,"They called her the Maid of Tarth, but she was no fair maiden. Brienne was a tower of steel and loyalty, a true knight in all but name.
Mocked for her looks, scorned for her dreams, she chose honor over comfort, oaths over glory. She served Renly Baratheon, then Catelyn Stark, then Jaime Lannister—yet belonged to none.
Her blade was named Oathkeeper, and she wielded it in the name of promises others forgot. She crossed a kingdom for a girl she barely knew, fought a bear, defied lords, and lived not by pride but by principle.
In the end, she was knighted not by titles, but by truth. The songs may not sing of her beauty—but they will never forget her courage.",,
CH031,Bronn,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Alive,Sword,Not Available,Ser Vardis Egen,"Bronn of the Blackwater, sellsword, climber of ladders and ladders of men. He entered the story with a sly grin and a quick blade, fighting for coin and drinking for joy.
He fought for Tyrion, not out of friendship but for gold—and yet stayed longer than coin required. He killed knights, dodged lords, bedded women, and kept his boots dry.
When the realm burned and dragons soared, Bronn rose higher still—from lowborn killer to Lord of Highgarden, with titles he barely respected.
He was the kind of man history forgets and legends envy—a survivor, a schemer, and a man too clever to ever die in someone else’s war.",,
CH032,Brother Ray,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Riverlands,Not Available,"A peaceful septon who renounces violence, leading a group of villagers in a tranquil life. His past and teachings leave a lasting impact on Sandor Clegane.",,
CH033,Brotherhood Without Banners Member,Human,Brotherhood Without Banners,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Riverlands,Not Available,"A sworn brother in a group of outlaws turned vigilantes, striving to protect the common folk amidst the chaos of war, often guided by the Lord of Light.",,
CH034,Catelyn Stark,Human,House Stark,Lord Hoster Tully and Lady Minisa Whent,Lysa Arryn and Edmure Tully,Not Available,"Robb, Sansa, Arya, Bran, Rickon",Dead,None,The Twins,Not Available,"Lady of Winterfell, fiercely protective mother",,
CH035,Catspaw assassin,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,King's Landing,Not Available,"A mysterious figure who attempts to murder Bran Stark in his sleep, sparking intrigue and suspicion that ripple through noble houses.",,
CH036,Cersei Lannister,Human,House Lannister,Tywin Lannister,"Jaime, Tyrion",Robert Baratheon (former),"Joffrey, Myrcella, Tommen",Dead,None directly,"Red Keep, King's Landing",Sept of Baelor Explosion,"Cersei, the lioness of the Rock, born of pride and prophecy. Daughter to Tywin, twin to Jaime, mother to kings, she believed herself a queen of destiny.
Her beauty was a weapon, her love a poison, her hatred boundless. She ruled through whispers and wildfire, making allies of enemies and corpses of rivals.
The prophecy of Maggy the Frog haunted her steps—gold would be her shroud, her children would die, and she would be cast down by a younger queen.
She became queen of ash and silence, a mother mourning sons she twisted, a queen with no people left to rule.
In the end, the Red Keep crumbled around her, and all her power amounted to nothing but stone and dust.",,
CH037,Champion of Meereen,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Outside Meereen,Not Available,"A warrior who challenges Daenerys's champions to single combat, representing the old guard's resistance to her new rule.",,
CH038,Champion of Meereen's Horse,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Outside Meereen,Not Available,"A proud beast adorned in golden armor, this steed bore the warrior of Meereen into combat, only to fall before Daenerys Targaryen's might.",,
CH039,Child of the Forest,Human,Children of the Forest,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,"Cave of the Three-Eyed Raven, Beyond the Wall",Not Available,"An ancient being of magic and mystery, the Child of the Forest is part of the original inhabitants of Westeros, deeply tied to nature and the old gods.",,
CH040,City watch guard,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Sword or spear,King's Landing,Not Available,"Gold cloaks they were called, but few bore the weight of justice. The City Watch of King’s Landing served not the law, but the throne—or whoever held it.
They were gaolers and gatekeepers, thugs in uniform, patrolling alleyways thick with rot and secrets.
When kings rose and fell, so did their loyalty. When chaos came, they looted before they fought. And when dragons flew overhead, many dropped their cloaks and fled, leaving justice to the flames.",,
CH041,Clegane's horse,Horse,House Clegane,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,King's Landing,Not Available,"A monstrous black stallion befitting its fearsome rider, Sandor 'The Hound' Clegane. As fierce and stubborn as the man it carried.",,
CH042,Craster,Human,Not Available,Not Available,Not Available,Multiple wives,Many,Dead,Not Available,"Craster's Keep, Beyond the Wall",Not Available,"A wildling of ill repute, Craster dwelt beyond the Wall with his many daughters-turned-wives, trading shelter for offerings to the White Walkers.",,
CH043,Daario Naharis,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Alive,Arakh,Not Available,Champion of Meereen,"A sellsword prince with a poet’s smirk and a killer’s hands. Daario Naharis was all gold tooth and silken swagger, a peacock amid war-hardened crows.
He served the Second Sons until he slit his captains' throats and offered their heads to a queen. For Daenerys Targaryen, he became sword, lover, and ruthless advisor.
He spoke in blades and boldness, wooing with wit and winning with blood.
When Daenerys crossed the sea, she left him behind—to keep the peace in Meereen. Some say he ruled as a tyrant in velvet; others say he still waits for his silver queen to return.",,
CH044,Daenerys Targaryen,Human,House Targaryen,Aerys II Targaryen,Rhaegar Targaryen and Viserys Targaryen,None,"Drogon, Rhaegar, Viserion",Dead,Dragons,"Throne Room, King's Landing",Civilians,"Stormborn in exile, mother of dragons, breaker of chains. Daenerys Targaryen rose from ash and blood, the last embers of a dying dynasty.
She walked through fire and came forth reborn, forging an army not from lords, but from the broken and the bound.
Her mercy was fierce, her justice unforgiving. She freed cities, shattered chains, and scorched those who stood against her. But in her heart burned the fire of old Valyria—and fire consumes.
In the end, her dream of a better world became a nightmare wrought in dragonflame. Slain by the one she loved, she died at the edge of the throne she never sat upon—hailed as both liberator and tyrant.",,
CH045,Deer,Human,Wildlife,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Forest near King's Landing,Not Available,"A symbol of House Baratheon, and in this tale, merely a creature caught in the wrong place at the wrong time.",,
CH046,Dickon Tarly,Human,House Tarly,Lord Randyll Tarly and Lady Melessa Florent,"Samwell Tarly, Talla Tarly, and two other sisters",None,None,Dead,Sword,Field of Fire,Not Available,"Son of Lord Randyll Tarly, and as tall and true as the oaks of the Reach. Dickon was all things a knight should be—brave, loyal, gallant—but bound by duty to a father made of stone.
He fought for the Tyrells, then bent the knee to the crown. When Daenerys demanded fealty after battle, Dickon stood by his father, choosing honor over survival.
For that choice, he died in dragonfire—reduced to ash for the crime of loyalty.",,
CH047,Direwolf,Direwolf,House Stark,Not Available,"Grey Wind, Lady, Nymeria, Summer, Shaggydog, and Ghost",None,Not Available,Sightings confirmed,Teeth and claws,Various locations across Westeros,Not Available,"The sigil of the North made flesh. Six pups found in the snow, born of a dead she-wolf and destined to mirror their Stark companions.
Each direwolf carried a shard of its master’s soul—fierce Ghost, loyal Grey Wind, savage Nymeria, gentle Lady, fearless Summer, and doomed Shaggydog.
They were guardians, avengers, omens. And as the Starks fell and rose, so too did their wolves—vanishing one by one into death, shadow, or legend.
Only a few remained when the dust settled—white-furred ghosts among men. Many Direwolf are unnamed in the known lore though their impact is none the less relevant.",,
CH048,Dontos Hollard,Human,House Hollard,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Blackwater Bay,Not Available,"Once a knight, then a fool. Ser Dontos fell from grace but found redemption in aiding Sansa Stark's escape from King's Landing.",,
CH049,Doran Martell,Human,House Martell,Not Available,"Elia, Oberyn Martell",Mellario,Trystane Martell,Dead,Not Available,Dorne,Not Available,"Prince of Dorne, wise and contemplative. He sought peace amidst vengeance, but his calm demeanor masked deep-rooted fury.",,
CH050,Doreah,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Qarth,Not Available,"A former handmaiden of Daenerys Targaryen, once loyal but later swayed by betrayal, her end came with quiet finality.",,
CH051,Dorne Horse,Horse,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Not Available,Not Available,"A desert-bred steed, strong and swift, trained to endure the sun-scorched sands of the Dornish hinterlands.",,
CH052,Dorne Smuggler,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Not Available,Not Available,"A shadowy figure of the Dornish ports, dealing in secrets and stolen cargo, often caught between crowns and causes.",,
CH053,Dorne Soldier,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"A disciplined spear-wielder under House Martell's banner, guarding Dorne’s borders with honor and pride.",,
CH054,Dothraki Khal,Human,Dothraki,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Various Dothraki camps,Not Available,"A warlord of the Great Grass Sea, feared for his ruthlessness and command over thousands of screamers.",,
CH055,Dothraki man,Human,Dothraki,Not Available,Not Available,Not Available,Not Available,Dead,Arakh,Westeros,Not Available,"Riders of the Great Grass Sea, the Dothraki were thunder made mortal. No walls, no crowns—only blood, speed, and the scream of hooves.
Each man was a warrior from birth, his braid uncut until shamed in battle. They lived by the arakh and died in glory.
When Daenerys came, some called her Mhysa. She led them across the sea, beyond the edge of their world. But dragons do not tame easily, and neither do the horse lords.
When the city burned, their cries echoed louder than the flames.",,
CH056,Dragonstone citizen,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Dragonstone,Not Available,"One of the many lives on the windswept isle of Dragonstone, overshadowed by fire, faith, and royalty.",,
CH057,Drennan,Human,House House Greyjoy,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Lost at Sea,Not Available,"An ironborn warrior, loyal to Theon House Greyjoy during his ill-fated campaign in the North, met a brutal end.",,
CH058,Drogo's horse,Horse,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Dothraki Sea,Not Available,"Steed of the Great Khal Drogo, bred for battle and blood. It shared in its master's fate with silent dignity.",,
CH059,Eddison Tollett,Human,House Tollett,Not Available,Not Available,Not Available,None,Dead,Sword or dragonglass,Castle Black,Not Available,"Dolorous Edd, they called him—dark of wit, dry of humor, and ever weary.
He served the Night’s Watch with grumbling loyalty, surviving battles that claimed braver men.
He stood with Jon Snow through mutiny and madness, fire and ice. And when Jon left the Wall, Edd bore the burden of command with grim reluctance.
He died as he lived—watching the end come from behind tired eyes, a joke on his lips and a sword in his hand.",,
CH060,Ellaria Sand,Human,Sand Snakes,"Harmen Uller, Lord of Hellholt",Not Available,Not Available,Tyene Sand (and 3 other Sand Snakes),Fate not shown,Poison-tipped dagger,Not Available,Myrcella Baratheon,"Paramour of Oberyn Martell and mother to the Sand Snakes, Ellaria burned with love—and hate.
When Oberyn fell, her grief twisted into fury. She poisoned, plotted, and pulled Dorne into vengeance against the Lannisters.
But vengeance feeds on itself. In her pursuit of justice, she orphaned innocents, shattered alliances, and brought ruin to her own house.
In the dungeons of King’s Landing, chained beside the rotting corpse of her daughter, she bore witness to her own undoing in silence and decay.",,
CH061,Euron Greyjoy,Human,House Greyjoy,Not Available,Balon Greyjoy and AeronGreyjoy,Not Available,One unborn child (with Cersei),Dead,Axe,Lost at Sea,"Balon Greyjoy, Rhaegal","Crow’s eye, kinslayer, sea-reaver, and mad prophet of the deep. Euron House Greyjoy returned from exile with madness in his blood and thunder in his sails.
He spoke of krakens and drowned gods, of Valyrian relics and fire made flesh. No man trusted him, and no man dared turn his back on him.
He carved a path of slaughter through sea and sky, capturing dragons, murdering kin, and bedding queens.
When his war came to the shores of King’s Landing, he laughed in the face of death. And death, in turn, struck him down like a wave upon the rocks.",,
CH062,Faith Militant Brother,Human,Faith Militant,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Great Sept of Baelor,Not Available,"A zealot sworn to the Seven, armored in devotion and iron, enforcer of faith through flame and steel.",,
CH063,Frey family member,Human,House Frey,Not Available,Numerous (siblings),Not Available,Not Available,Dead,Not Available,The Twins,Not Available,"One of the many faces of House Frey, indistinct among the treacherous brood that orchestrated the Red Wedding.",,
CH064,Frey soldier,Human,House Frey,Not Available,Not Available,Not Available,Not Available,Not Available,Sword or spear,The Twins,House Stark,"A dagger in the back of honor. The soldiers of House Frey fought with numbers, not valor.
They stood at the Red Wedding not as warriors, but as butchers. Draped in guest’s cloaks, they danced to the music of betrayal, turning feasting hall into slaughterhouse.
They fought for Walder Frey and died with him too—cut down like wheat when the wolves returned for justice.
Few remember their names. But their shame is etched in blood across the pages of history.",,
CH065,Gared,Human,Night's Watch,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Haunted Forest,Not Available,"A seasoned ranger of the Night’s Watch, witness to the terror beyond the Wall. His warnings fell on deaf ears.",,
CH066,Gendry,Human,House Baratheon,King Robert Baratheon and unnamed tavern wench,"Half-siblings include Mya Stone, Bella, Edric Storm, and Barra",Not Available,None confirmed,Alive,War hammer,Still Alive,Not Available,"A bastard of Robert Baratheon, born in the gutters of King’s Landing with fire in his arms and strength in his forge.
He knew no title, no house, only the weight of a hammer and the scorn of nobility.
Yet fate drew him into the paths of queens and killers, from the Brotherhood to the Battle of Winterfell.
He fought with honor, loved with confusion, and rose—by royal decree—to become Lord of Storm’s End.
But in his heart, he remained Gendry of the forge: iron-willed, loyal, and tempered by fire.",,
CH067,Ghost,Direwolf,House Stark,Not Available,"Grey Wind, Lady, Nymeria, Summer and Shaggydog",Not Available,Not Available,Alive,Teeth and claws,Still Alive,Not Available,"Jon Snow's loyal albino direwolf, known for his silent demeanor and fierce loyalty.",,
CH068,Giant Wight,Undead Giant,Undead,Not Available,Not Available,Not Available,Not Available,Undead,Sheer physical power,Beyond the Wall,Not Available,"A behemoth of death, a legend unmade. Once a mighty giant of the far north, he fell beneath the weight of winter.
Raised by the Night King, his soul torn from rest, he marched in silent fury, crushing men and gates alike beneath rotting feet.
His eyes burned blue. His breath carried frost. And his ruin was a harbinger of the cold that devoured the world.
No blade remembered his name. No grave bore his bones.",,
CH069,Giant mammoth,Mammoth,Wildlife,Not Available,Not Available,Not Available,Not Available,Dead,Tusks,Beyond the Wall,Not Available,"Wooly titans from a world older than crowns. The Free Folk rode them into war, shaking the earth with every step.
Great shaggy beasts, their tusks were trees, their hides thick as armor. When the Night’s Watch faced them, they faced more than muscle—they faced history awakened.
As winter deepened, even the mammoths fell to undeath, twisted into icy engines of destruction.
Their trumpets once heralded ancient glory. Now they echo in memory only.",,
CH070,Giant wildling,Human,Free Folk,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Beyond the Wall,Not Available,"A towering creature allied with the Free Folk, fierce in battle, and driven by a primal need for survival.",,
CH071,Gladiator,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Varies,Fighting pits of Meereen,Not Available,"In the fighting pits of Meereen, men became monsters for coin and applause.
These were no knights—only flesh to be torn and blood to be spilled.
When Daenerys reopened the pits to appease tradition, old warriors and young fools alike stepped into the sand.
Some fought for freedom, others for fame, and all danced with death.
Few lived. None were remembered.",,
CH072,Goat,Goat,Wildlife,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Mountains near Vale,Not Available,"A humble creature, its presence in Westeros more culinary than combative, yet not without narrative impact.",,
CH073,Golden Company horse,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,King's Landing,Not Available,"A proud beast bred for battle and trained under the discipline of the famed mercenary company. Clad in ornate barding and symbols of gold, it thundered into war alongside the best-paid swords in Essos.",,
CH074,Golden Company soldier,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,King's Landing,Not Available,"A seasoned mercenary from the legendary Golden Company, known for discipline, honor, and betrayal. He followed the gold, not the crown, fighting in foreign wars until the day fate claimed him in Westeros.",,
CH075,Grand Maester Pycelle,Human,Not Available,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,"Red Keep, King's Landing",Not Available,"A cunning and aged man of the Citadel, Pycelle served the Iron Throne through shifting rulers. Behind a frail façade lay a shrewd political survivor. His loyalties bent with power, until they led to his quiet, sudden end.",,
CH076,Great Master,Human,Great Masters of Meereen,Not Available,Not Available,Not Available,Not Available,Dead,Not Available,Meereen,Not Available,"One of Meereen's slaveholding elite, clinging to power even as Daenerys stormed their gates. Dressed in silk and arrogance, he thought himself untouchable until the dragons came.",,
CH077,"Gregor ""The Mountain"" Clegane",Human,House Clegane,Not Available,Sandor (brother),Not Available,None,Undead,"Greatsword, brute strength","Red Keep, King's Landing",Oberyn Martell,"More beast than man, a towering executioner of pain. Ser Gregor was a mountain in flesh—huge, brutal, and without mercy.
He raped, burned, and butchered under Lannister banners, a plague of steel that silenced cities.
Poisoned by Oberyn Martell, he was remade into something worse—a silent shadow in black armor, death incarnate.
He served Cersei until the very end, standing unmoved by fire or blade.
It was only his brother, the Hound, who dragged him into the abyss. And there, at last, the Mountain fell.",,
