Location_ID,Location,image URL,X Coordinate,Y Coordinate,Description
LOC031,Oxcross,,796.5,2249,"Oxcross lies in the Westerlands, a fertile plain turned graveyard. During the War of the Five Kings, Robb Stark outmaneuvered the Lannister host by taking this unguarded path, striking swift and hard under cover of forest. It was here that the Young Wolf's legend grew, where steel flashed in the night and Tywin Lannister's confidence was shaken. Though a simple patch of land, Oxcross became a symbol—of strategy, surprise, and the brittle nature of power."
LOC032,Pentos,,1926.1,2113,"A wealthy Free City on the western coast of Essos, Pentos is a land of opulence and intrigue. Its red-bricked palaces overlook the Summer Sea, while merchant princes rule through wealth and cunning rather than steel. Though bound by trade pacts and uneasy alliances, the city's prosperity is shadowed by the sacrifices demanded by its customs—once, the lives of maidens to appease their gods. It was here that Daenerys Targaryen began her fateful journey, sold into marriage by her brother Viserys, setting in motion a saga that would shake the world."
LOC033,Qarth,,4441,1127,"""The greatest city that ever was or will be,"" Qarth lies at the edge of the Red Waste, a jewel of culture and magic surrounded by desert death. Its triple walls—each more ornate than the last—protect a society of traders, mystics, and deceivers. The ruling Pureborn dwell in splendor, while the enigmatic warlocks of the House of the Undying whisper secrets through blue lips. It was here that Daenerys sought allies and was betrayed, nearly succumbing to dark visions in the depths of the House of the Undying."
LOC034,Red Waste,,4239,1501,"A scorched, barren expanse of sun-baked earth and parching winds, the Red Waste tests the will of any who dare cross it. Few survive its cruel sands without a guide, and none escape unchanged. Following the death of Khal Drogo, Daenerys led her khalasar through this wasteland, enduring starvation, thirst, and despair until salvation arrived in the form of Qarth’s glimmering gates."
LOC035,Riverlands,,1110,2491.7,"The heart of Westeros, the Riverlands are a realm of rolling hills, fertile rivers, and deep-seated vengeance. Controlled by House Tully of Riverrun, the region has borne the brunt of countless wars, from Aegon’s Conquest to the War of the Five Kings. It is a land where loyalty is tested, and betrayal often blooms beside banners. The Red Wedding, one of the realm’s most infamous massacres, took place within these war-torn lands."
LOC036,Riverrun,,1016.8,2375,"Seat of House Tully, Riverrun sits at the confluence of the Red Fork and Tumblestone rivers. A fortress of red stone and cascading water, it has long stood as a bastion of honor and family. During the War of the Five Kings, it served as a key stronghold for Robb Stark and his bannermen. Later besieged by Lannister forces, the castle’s fate swayed with the tides of war, but its legacy as a symbol of the Riverlands’ proud resistance endures."
LOC037,Robb Stark's camp,,1034,2410.8,"A mobile command post during the War of the Five Kings, Robb Stark’s camp moved with the Young Wolf’s army through the Riverlands and Westerlands. Tents of direwolf banners and makeshift strategy halls bore witness to bold decisions and ill-fated romances. It was within these campfires that Robb forged his legend—and ultimately, sealed his doom through love and defiance of oath."
LOC038,Roseroad,,1006.7,1931,"The main highway between King’s Landing and Highgarden, the Roseroad winds through fertile lands and lush meadows, its very name evoking the beauty of the Reach. It serves as a vital artery for trade and military movement. During the wars that wracked the realm, it bore the tramp of marching armies and the ashes of burned villages, yet in peacetime, it remains a corridor of wealth and splendor."
LOC039,Skagos,,1560,3568.3,Cannibal-rumored island off the North.
LOC040,Storm's End,,1500.1,1878,"A fortress forged in defiance of nature itself, Storm’s End rises above the narrow peninsula facing Shipbreaker Bay. Its walls are a marvel of engineering and magic, said to have been raised by the legendary Bran the Builder. Home to House Baratheon, it has withstood centuries of sieges and storms alike. During the War of the Five Kings, it became a stage for ambition and sacrifice as Stannis Baratheon claimed it as his base of power, his path darkened by sorcery and shadow."
LOC041,Tarth,,1600.1,1904,"Island of Brienne’s origin, aka ""Sapphire Isle""."
LOC042,The Citadel,,716,1602.1,"The Citadel is the headquarters of the maesters, who serve as scholars, healers, and advisors."
LOC043,The Crownlands,,1353,2193.5,The region around King’s Landing.
LOC044,The Eyrie,,1381.2,2494,"Perched atop the Giant’s Lance in the Vale of Arryn, the Eyrie is a castle in the clouds, accessible only by a treacherous mountain path. Known for its impregnable position and the Moon Door—a drop to death for condemned prisoners—the Eyrie reflects the aloofness and pride of House Arryn. Here, Lysa Arryn ruled with fear and madness, and the trials of Tyrion Lannister began his fateful journey."
LOC045,The Fist of the First Men,,1029,3714.9,"a legendary and strategic location north of the Wall, often referenced in the Night’s Watch’s expeditions."
LOC046,The Gift,,1267,3517.7,"A swath of fertile land south of the Wall, the Gift was bestowed upon the Night’s Watch by House Stark in ages past. Once tilled by free folk in service of the Watch, it has long lain fallow, as the Watch’s numbers dwindled and the wildlings encroached. The land remains a somber reminder of honor unheeded and duty long forgotten."
LOC047,The Haunted Forest,,1176,3770.5,Beyond the Wall area of major mystical significance.
LOC048,The Narrow Sea,,1712,2249.1,"A restless expanse that separates Westeros from Essos, the Narrow Sea is more than a mere stretch of water—it is a crucible of cultures, trade, and conquest. Its ports bustle with ships bearing silks, spices, and secrets. Daenerys Targaryen’s dragons would soar over it on their journey to reclaim a throne, and countless lords, pirates, and exiles have found fortune or death upon its waves."
LOC049,The Reach,,1009,2041.9,"Fertile, populous region of House Tyrell."
LOC050,The Shadow Lands,,6023,662,"East of Asshai, ultra-lore-heavy, dragon and magic origin speculation."
LOC051,The Shadow Sea,,6311,581.1,"Mysterious and uncharted, east of Essos."
LOC052,The Stormlands,,1333,1890.2,"East of Asshai, ultra-lore-heavy, dragon and magic origin speculation."
LOC053,The Trident,,1196,2395.7,Site of Robert Baratheon’s rebellion-winning battle.
LOC054,The Twins,,1065,2587.7,"Straddling the Green Fork of the Trident, the Twins are the ancestral seat of House Frey, a house known more for ambition than honor. The two identical towers, connected by a stone bridge, form a vital crossing and a strategic stronghold. Though mocked for their upjumped lineage, the Freys gained infamy during the Red Wedding, a massacre that altered the course of the War of the Five Kings. The Twins now stand not only as a physical crossing but as a symbol of treachery cloaked in hospitality."
LOC055,The Vale,,1489,2517,"Encircled by the towering peaks of the Mountains of the Moon, the Vale of Arryn is a realm of isolation and serenity, ruled from the sky-piercing castle of the Eyrie. Known for its chivalric traditions and pure-blooded nobility, the Vale has remained aloof from many of the realm’s conflicts. Yet, beneath its pristine snows and steep trails lies a land of political maneuvering and deadly ambition. The Knights of the Vale are among the finest horsemen in Westeros, and their late entry into the wars of the realm often turns tides."
LOC056,The Wall,,1331.3,3604,"A colossal monument of ice and magic, the Wall stands as the last defense between the realms of men and the wild terrors of the far north. Raised eight thousand years ago by Brandon the Builder, it stretches 700 feet high and 300 miles long. Manned by the Night’s Watch, a sworn brotherhood of exiles and warriors, the Wall has seen generations of uneasy peace, until the return of the White Walkers turned its legend into reality. From Castle Black to Eastwatch-by-the-Sea, the Wall is a frozen sentinel over forgotten nightmares."
LOC057,Torrhen’s Square,,941.7,3087,Taken by Theon in the show.
LOC058,Tower of Joy,,928,1566.7,Legendary location of Jon Snow’s birth.
LOC059,Tyrosh,,1782,1728.5,"Renowned for its dyed beards, opulent textiles, and political intrigue, Tyrosh is a city of silk and subterfuge. It is ruled by archons and merchant princes, its wealth born from controlling the sea-lanes of the Narrow Sea. Wars among the Free Cities have stained its streets many times, yet Tyrosh endures—gaudy, decadent, and deadly. The city’s loyalty is always for sale, but its pride is priceless."
LOC060,Not Available,,3000,1500,"The lands deemed ""Not Available"" are the shadowed edges of maps and the whispers in campfire tales. They represent the forgotten, the unexplored, and the erased. Be they distant shores, cursed ruins, or lands lost to time, these regions are as vast in rumor as they are in mystery. Some say dragons still sleep there. Others speak of entire civilizations turned to ash. In a world of shifting alliances and ancient power, ""Not Available"" is not absence—but potential."
LOC061,Vaes Dothrak,,4135.6,2266,"Nestled beneath the Mother of Mountains, Vaes Dothrak is the only city of the Dothraki, the fierce horse-lords of the Great Grass Sea. No walls surround it, for the Dothraki fear no invaders. Statues of the gods of conquered peoples line its entrance, a silent testament to the khalasars' victories. The city serves as sacred ground, where blood must not be spilled and the Dosh Khaleen—wise widows of fallen khals—hold prophecy and power. Here, fire burns, old customs bind, and destinies are shaped in shadow and flame."
LOC062,Valyria,,2817.4,970,"Once the heart of a vast empire, Valyria is now a haunted ruin swallowed by cataclysm. Its smoking seas and twisted remnants are all that remain of the Doom, a disaster that shattered the greatest civilization ever known. Home to dragonlords and sorcery, Valyria crafted blades of legend and built cities that touched the sky. Now, only whispers remain—of demons, fire-wracked ruins, and the few families, like House Targaryen, who escaped its fall. Valyria is a graveyard of gods, a cradle of nightmares, and a warning to those who would play with power unchecked."
LOC063,Volantis,,2500.6,1450,One of the Free Cities; lore-rich.
LOC064,Winterfell,,1106.8,3187,"Set in the heart of the cold North, Winterfell is the ancient stronghold of House Stark. Built by Brandon the Builder after the Long Night, its halls echo with the creeds of honor, family, and resilience. Beneath it lie crypts stretching into darkness, where the kings of winter sleep with swords in stone. Winterfell has burned and bled, changed hands and stood firm. It is not merely a castle but a symbol—a beacon in the snow that winter may come, but the North remembers."
LOC065,Yunkai,,3431.7,1544,"Yunkai, the Yellow City, sits upon the southern coast of Slaver’s Bay, wrapped in the golden sands of ancient decadence. Smaller than Meereen and less martial than Astapor, Yunkai thrives on trade and subjugation. Its walls are strong, but its spirit is sluggish, dulled by the luxury of masters and the suffering of slaves. When Daenerys Targaryen came with fire and liberation, the city's foundations trembled. Though freed, Yunkai’s chains were not so easily cast aside, and its future remains a battleground between old ways and reborn ideals."
,,,,,
LOC067,Pyke,,,,
LOC068,The Kingswood,,,,
LOC069,Red Keep,,,,
LOC070,Outside Meereen,,,,
LOC071,Cave of the Three-Eyed Raven,,,,
LOC072,"Craster's Keep, Beyond the Wall",,,,
LOC073,"Throne Room, King's Landing",,,,
LOC074,Forest near King's Landing,,,,
LOC075,Great Sept of Baelor,,,,
LOC076,Fighting pits of Meereen,,,,
LOC077,Mountains near Vale,,,,
LOC078,"Dosh Khaleen Temple, Vaes Dothrak",,,,
LOC079,"Godswood, Winterfell",,,,
LOC080,Qyburn's Laboratory,,,,
LOC081,Karhold,,,,
LOC082,Flea Bottom,,,,
