Death_No.,Season,Episode,Character_ID,Victim_House,Character_Name,Victim,Victim_URL,Method,Location,Location_ID
20,1,5,CH210,None,Rodrik Cassel,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Sword,Eastern Road,LOC013
21,1,5,CH031,None,Bronn,Tribesman,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Hill_Tribesman.png,Knife,Eastern Road,LOC013
22,1,5,CH122,House Stark,Lannister soldier,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Spear,King's Landing,LOC021
23,1,5,CH122,House Stark,Lannister soldier,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Spear,King's Landing,LOC021
24,1,5,CH107,House Lannister,Jory Cassel,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,King's Landing,LOC021
25,1,5,CH161,House Lannister,Ned Stark,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,King's Landing,LOC021
26,1,5,CH107,House Lannister,Jory Cassel,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,King's Landing,LOC021
27,1,5,CH107,House Lannister,Jory Cassel,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,King's Landing,LOC021
28,1,5,CH098,House Stark,Jaime Lannister,Jory Cassel,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Jory_Cassel.png,Knife,King's Landing,LOC021
29,1,6,CH207,Free Folk,Robb Stark,Wallen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,Winterfell,LOC064
30,1,6,CH207,Free Folk,Robb Stark,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Winterfell,LOC064
31,1,6,CH247,Free Folk,Theon Greyjoy,Stiv,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Arrow,Winterfell,LOC064
32,1,6,CH031,House of Arryn,Bronn,Vardis Egen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,The Eyrie,LOC044
33,1,6,CH113,House Targaryen,Khal Drogo,Viserys Targaryen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Viserys_Targaryn.png,Molten gold,Vaes Dothrak,LOC061
34,1,7,CH025,House Baratheon of King's Landing,Boar,Robert Baratheon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Viserys_Targaryn.png,Tusk,King's Landing,LOC021
35,1,7,CH040,House Stark,City watch guard,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,King's Landing,LOC021
36,1,7,CH040,House Stark,City watch guard,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,King's Landing,LOC021
37,1,7,CH040,House Stark,City watch guard,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,King's Landing,LOC021
38,1,7,CH215,House Stark,Sandor Clegane,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,King's Landing,LOC021
39,1,8,CH122,House Stark,Lannister soldier,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,King's Landing,LOC021
40,1,8,CH122,House Stark,Lannister soldier,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,King's Landing,LOC021
41,1,8,CH122,House Stark,Lannister soldier,Vayon Poole,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Vayon_Poole.png,Sword,King's Landing,LOC021
42,1,8,CH122,House Stark,Lannister soldier,Stark staff member,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
43,1,8,CH122,House Stark,Lannister soldier,Stark staff member,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
44,1,8,CH122,House Stark,Lannister soldier,Septa Mordane,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Septa_Mordane.png,Sword,King's Landing,LOC021
45,1,8,CH154,House Stark,Meryn Trant,Syrio Forel,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Syrio_Forel.png,Sword,King's Landing,LOC021
46,1,8,CH008,Smallfolk,Arya Stark,Stableboy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
47,1,8,CH105,None,Jon Snow,Othor,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Fire,Castle Black,LOC009
48,1,8,CH164,None,Night's Watch Brother,Jafer Flowers,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Fire,Castle Black,LOC009
49,1,8,CH113,Dothraki,Khal Drogo,Mago,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Hands,Lhazar,LOC024
50,1,9,CH155,Dothraki,Mirri Maz Duur,Drogo's horse,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Horse.png,Knife,Red Waste,LOC034
51,1,9,CH106,Dothraki,Jorah Mormont,Qotho,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,Red Waste,LOC034
52,1,9,CH087,House Stark,Hill tribesman,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Hammer,Not Available,LOC060
53,1,9,CH087,House Stark,Hill tribesman,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Not Available,LOC060
54,1,9,CH008,None,Arya Stark,Pigeon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Pigeon.png,Hands,King's Landing,LOC021
55,1,9,CH094,House Stark,Ilyn Payne,Ned Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Ned_Stark.png,Sword,King's Landing,LOC021
56,1,10,CH155,Dothraki,Mirri Maz Duur,Rhaego,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Magic,Red Waste,LOC034
57,1,10,CH044,Dothraki,Daenerys Targaryen,Khal Drogo,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Khal_Drogo.png,Pillow,Red Waste,LOC034
58,1,10,CH044,None,Daenerys Targaryen,Mirri Maz Duur,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mirri_Maz_Duur.png,Fire,Lhazar,LOC024
59,2,1,CH215,None,Sandor Clegane,Knight,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Mace,Not Available,LOC060
60,2,1,CH167,House Targaryen,None,The Silver,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/The_Silver.png,Starvation,Red Waste,LOC034
61,2,1,CH151,House Baratheon of Dragonstone,Melisandre,Maester Cressen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Maester_Cressen.png,Poison,Dragonstone,LOC011
62,2,1,CH099,Smallfolk,Janos Slynt,Barra (Baratheon illegitimate son),https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,King's Landing,LOC021
63,2,1,CH040,Smallfolk,City watch guard,Robert Baratheon's illegitimate son,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,King's Landing,LOC021
64,2,1,CH040,Smallfolk,City watch guard,Robert Baratheon's illegitimate son,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Water,King's Landing,LOC021
65,2,1,CH040,Smallfolk,City watch guard,Robert Baratheon's illegitimate son,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Not Available,King's Landing,LOC021
66,2,2,CH206,House Targaryen,Rival Dothraki,Rakharo,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Not Available,Red Waste,LOC034
67,2,3,CH287,House Lannister,Yoren,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Riverlands,LOC035
68,2,3,CH287,House Lannister,Yoren,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Riverlands,LOC035
69,2,3,CH287,House Lannister,Yoren,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Riverlands,LOC035
70,2,3,CH287,House Lannister,Yoren,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Riverlands,LOC035
71,2,3,CH287,House Lannister,Yoren,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Riverlands,LOC035
72,2,3,CH005,Night's Watch,Amory Lorch,Yoren,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Yoren.png,Sword,Riverlands,LOC035
73,2,3,CH122,Night's Watch,Lannister soldier,Night's Watch recruit,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Spear,Riverlands,LOC035
74,2,3,CH184,Smallfolk,Polliver,Lommy Greenhands,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lommy.png,Sword,Riverlands,LOC035
75,2,4,CH079,House Lannister,Grey Wind,Rennick,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Teeth,Oxcross,LOC031
76,2,4,CH079,House Lannister,Grey Wind,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Teeth,Oxcross,LOC031
77,2,4,CH245,None,The Tickler,Prisoner,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Rat,Harrenhal,LOC017
78,2,5,CH151,House Baratheon of Storm's End,Melisandre,Renly Baratheon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Renly_Baratheon.png,Shadow Demon,Storm's End,LOC040
79,2,5,CH030,House Baratheon of Storm's End,Brienne of Tarth,Baratheon of Storm's End guard,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Sword,Storm's End,LOC040
80,2,5,CH030,House Baratheon of Storm's End,Brienne of Tarth,Baratheon of Storm's End guard,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Sword,Storm's End,LOC040
81,2,5,CH100,House Clegane,Jaqen H'ghar,The Tickler,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/The_Tickler.png,Not Available,Harrenhal,LOC017
82,2,6,CH247,House Stark,Theon Greyjoy,Rodrik Cassel,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Rodrik_Cassell.png,Sword,Winterfell,LOC064
83,2,6,CH164,Free Folk,Night's Watch Brother,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Arrow,Beyond the Wall,LOC005
84,2,6,CH189,Free Folk,Qhorin Halfhand,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Sword,Beyond the Wall,LOC005
85,2,6,CH180,Faith of the Seven,Peasants,High Septon,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/High_Septor.png,Hands,King's Landing,LOC021
86,2,6,CH215,Smallfolk,Sandor Clegane,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
87,2,6,CH215,Smallfolk,Sandor Clegane,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Sword,King's Landing,LOC021
88,2,6,CH215,Smallfolk,Sandor Clegane,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,King's Landing,LOC021
89,2,6,CH215,Smallfolk,Sandor Clegane,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,King's Landing,LOC021
90,2,6,CH215,Smallfolk,Sandor Clegane,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,King's Landing,LOC021
91,2,6,CH100,House Lannister,Jaqen H'ghar,Amory Lorch,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Amory_Lorch.png,Poison dart,Harrenhal,LOC017
92,2,6,CH175,House Greyjoy,Osha,Drennan,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Drennan.png,Knife,Winterfell,LOC064
93,2,6,CH262,House Targaryen,Not Available,Irri,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Irri.png,Not Available,Qarth,LOC033
94,2,7,CH098,House Lannister,Jaime Lannister,Alton Lannister,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Alton_Lannister.png,Hands,Robb Stark's camp,LOC037
95,2,7,CH098,House Stark,Jaime Lannister,Torrhen Karstark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Hands,Robb Stark's camp,LOC037
96,2,7,CH187,The Thirteen,Pyat Pree,The Spice King,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/The_Spice_King.png,Knife,Qarth,LOC033
97,2,7,CH187,The Thirteen,Pyat Pree,The Silk King,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
98,2,7,CH187,The Thirteen,Pyat Pree,The Copper King,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
99,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
100,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
101,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
102,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
103,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
104,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
105,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
106,2,7,CH187,The Thirteen,Pyat Pree,Member of the Thirteen,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Qarth,LOC033
107,2,7,CH247,Smallfolk,Theon Greyjoy,Billy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Fire,Winterfell,LOC064
108,2,7,CH247,Smallfolk,Theon Greyjoy,Jack,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Fire,Winterfell,LOC064
109,2,9,CH031,House Baratheon of Dragonstone,Bronn,Matthos Seaworth,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Matthos_Seaworth.png,Wildfire,King's Landing,LOC021
110,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
111,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
112,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
113,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
114,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
115,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
116,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
117,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
118,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
119,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
120,2,9,CH001,House Baratheon of Dragonstone,Accident,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Blunt object,King's Landing,LOC021
121,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
122,2,9,CH031,House Baratheon of Dragonstone,Bronn,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Wildfire,King's Landing,LOC021
123,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
124,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
125,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
126,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
127,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
128,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
129,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
130,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
131,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
132,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
133,2,9,CH016,House Baratheon of Dragonstone,Baratheon of King's Landing soldier,Baratheon of Dragonstone soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Baratheon_Dragonstone_Soldier.png,Flaming arrow,King's Landing,LOC021
