Location,Location_ID,X_Coordinate,Y_Coordinate,Description,Location_URL
Dragonstone,LOC011,1545,2228.9,"Jagged and foreboding, Dragonstone juts from the Narrow Sea like a talon of black rock. Forged by Valyrians before their Doom, it is carved from obsidian and ancient magic. This was the first seat of House Targaryen in Westeros, a place of dragons and dark fire. Its stone hallways are etched with draconic reliefs, and its chamber hearths roar like wyrms. Stannis Baratheon claimed it during Robert’s Rebellion, lighting the fires of Melisandre’s shadowy faith. When Daenerys returned from exile, it was to Dragonstone she came, to reclaim the realm with fire and blood. The castle still whispers with the breath of sleeping dragons.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Dragonstone.png
Dreadfort,LOC012,1367.9,3236,"The Dreadfort is a place of pale stone and darker deeds, the ancestral home of House Bolton. Nestled in the chill of the North, its towers are high and its walls cruel. Long before the Starks united the North, the Boltons flayed their enemies alive, wearing their skins as cloaks. The banners were lowered in peace, but the knives never dulled. When Roose Bolton betrayed Robb Stark at the Red Wedding, he claimed the title Warden of the North—but it was his bastard, Ramsay, who truly ruled. The Dreadfort became a house of horrors, where hounds fed on men and screams echoed through frozen halls.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Dreadfort.png
Eastern Road,LOC013,1273.4,2405,"The Eastern Road winds from the Vale through mountain passes and perilous forests, linking the secluded Eyrie with the greater kingdoms. It is a path of travelers and traders, but also one of blood and broken wheels. Bandits and sellswords often stalk its bends, and the shadows of the Mountains of the Moon have swallowed more men than the Eyrie has sheltered. It was along this road that Tyrion Lannister first met Bronn, and where bonds of blood and gold were forged. Though not a place of stone and banners, the Eastern Road is as vital a part of Westeros’s weave as any keep or castle.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Eastern_Road.png
Field of Fire,LOC014,974,2102.5,"The Field of Fire was a blaze upon the Reach, where green pastures turned to cinder beneath dragon flame. Here, Aegon the Conqueror faced the might of House Gardener and House Lannister, outnumbered but not outmatched. With his sisters beside him and three dragons above, he unleashed fire that scorched ten thousand men. Shields melted, banners burned, and the sky turned red with ruin. By day’s end, the Reach had no king, only ash—and Aegon’s dream drew one step closer to reality.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Field_of_Fire.png
Gods Eye & Isle of Faces,LOC015,1201,2269.3,"The Gods Eye lies vast and still at the heart of the Riverlands, its waters deep enough to drown both armies and ages. In its center broods the Isle of Faces, cloaked in mist and mystery, where the ancient weirwoods still whisper to the green men said to dwell there. It was here the Pact was forged, ending the war between First Men and Children of the Forest. Few have set foot on the isle since, and fewer still return. The trees remember, and on the Gods Eye, the past is never truly buried.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Isle_of_Faces.png
Hardhome,LOC016,1424,3730,"Once a thriving Free Folk settlement, Hardhome now lies as a haunted memory on the desolate coast Beyond the Wall. Legends speak of its sudden and horrific fall. Fire and screams echoed across the sea as an ancient doom, now known to be the White Walkers and their undead legions, descended upon it. Thousands vanished overnight, and the few who fled brought only terror and tales of blue-eyed corpses. When Jon Snow sailed there to rescue the Wildlings, he witnessed the nightmare firsthand. Hardhome stands today as a ruin claimed by ice, a grim monument to the rising tide of death.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Hardhome.png
Harrenhal,LOC017,1217.3,2309,"Harrenhal was once the grandest castle ever built in Westeros, a colossus of stone rising from the shores of the Gods Eye. Lord Harren Hoare dared build it to defy the world, but his pride was scorched from the skies. Aegon the Conqueror and his dragon Balerion turned the towers to ash on the very day of its completion, melting stone and flesh alike. Since then, Harrenhal has been cursed, passing from lord to doomed lord. Its halls echo with ruin, and the brave speak of ghosts in its charred bones. No house holds it long, for death walks freely within its blackened walls.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Harrenhal.png
Highgarden,LOC018,870.7,1790,"Highgarden is the jewel of the Reach, a sun-drenched citadel of roses and gold. Seat of House Tyrell, it lies along the Mander River, its blooming terraces and marble towers surrounded by orchards and vineyards. Known for its bounty, chivalry, and courtly splendor, Highgarden has long been a seat of culture and power. It was here that Lady Olenna, the Queen of Thorns, wielded her words like daggers, shaping alliances and fates. Though the Tyrells fell to Lannister fire and betrayal, the garden still blooms, its roots deep and its memory sweet with summer.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Highgarden.png
Hollow Hill,LOC019,1282,2309.7,"Hidden in the riverlands' dense forests, Hollow Hill was the secret redoubt of the Brotherhood Without Banners. Beneath ancient oaks and through forgotten tunnels, the outlaws gathered not to plunder but to protect. There, Lord Beric Dondarrion was reborn again and again by the Lord of Light, his patchwork followers bound by a cause of justice in a lawless land. The hill is more than a hideout; it is a symbol of resistance, of broken oaths made whole again beneath the earth. In the war-torn realm, Hollow Hill became legend.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Hollow_Hill.png
Iron Islands,LOC020,696,2517,"Rising from the tempestuous Ironman's Bay, the Iron Islands are a scattered archipelago of jagged stone and storm-wracked cliffs. The people here are seafarers, raiders, and worshippers of the Drowned God. ""What is dead may never die,"" they say, for the Ironborn live hard and die harder. Pyke, the twisted seat of House Greyjoy, perches like a broken crown atop sea-carved rocks. The Old Way, long abandoned by the mainland, thrives here—steel over coin, salt over softness. Though often dismissed by the great houses, the Ironborn strike swift and vanish like mist, their oars beating war into the waves.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Iron_Islands.png
King's Landing,LOC021,1302.9,2091,"The heart of the Seven Kingdoms, King’s Landing is a city of splendor and squalor, golden domes shadowed by reeking alleys. Built where Aegon the Conqueror first set foot on Westeros, it rose into the capital through fire and conquest. The Red Keep looms over the city like a crimson sentinel, its halls echoing with secrets, steel, and schemes. It was here kings rose and fell, where wildfire consumed a tyrant's reign, and where the Iron Throne sat as both prize and curse. A city of a million souls and a thousand knives, King’s Landing bleeds history.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Kings_Landing.png
Kingsroad,LOC022,1292,2188.4,"The Kingsroad is the great spine of Westeros, stretching from Castle Black to the capital. It binds the realm, a ribbon of cobbled stone and worn earth winding through forests, fields, and fates. On this road rode kings and killers, knights and bastards, queens cloaked in mystery and rebels cloaked in blood. It was along this path that Eddard Stark journeyed south to his doom, and along which Arya Stark vanished into legend. The Kingsroad is no mere path—it is the story of a kingdom, told in footsteps.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Kings_Road.png
Last Hearth,LOC023,1311.7,3435,"Far in the North, just shy of the Wall, lies Last Hearth, the ancestral seat of House Umber. Its grey halls were built to withstand the snows and the savagery of winter, and its men are mountain-hearted and fierce. The Umbers were known for their loyalty to House Stark, though the winds of war bent even the proud. When the dead marched, Last Hearth fell quickly, its keep stained with frost and death. There, a child pinned to a wall, surrounded by limbs in a spiral, marked the White Walkers’ terrible message: winter had truly come.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Last_Hearth.png
Lhazar,LOC024,3870,1561.7,"A land of peace among the blood-soaked lands of Slaver's Bay, Lhazar is a humble realm of shepherds and prayer. Its people, the Lhazareen, tend flocks and offer worship to the Great Shepherd, eschewing war and conquest. But peace is fragile. Khal Drogo’s khalasar razed their villages, taking what they wished and leaving ash. It was among these gentle people that Daenerys Targaryen's mercy was kindled and her dragons fed for the first time. Lhazar bleeds quietly, a pastoral song muffled by war drums.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Lhazar.png
Lys,LOC025,1939,1455.5,"Lys shimmers like a jewel in the Summer Sea, a city of pleasure wrapped in silk and sin. Known as the Perfumed Sister, it is famed for its courtesans, whose beauty is rivaled only by their art in seduction. Marble villas line its sapphire harbors, and the scent of jasmine drifts through moonlit streets. But beneath the perfume lies poison—plots whispered in pillows, daggers hidden behind smiles. In Lys, love is currency, desire a weapon, and nothing is ever freely given.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Lys.png
Meereen,LOC026,3521,1612.2,"The greatest of the Slaver’s Bay cities, Meereen rises with pyramids and cruelty. Its streets are lined with the bones of slaves crucified as warnings, its masters robed in tradition and tyranny. When Daenerys conquered it, she brought change as sharp as any sword. She abolished chains and brought dragons into the sky, but also sowed discord among the powerful and the poor. The Sons of the Harpy rose in secret revolt, cloaked in gold and blood. Meereen became a crucible of rule and rebellion, its walls echoing with the cries of freedom and fire.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Meereen.png
Moat Cailin,LOC027,1116.1,2866,"Moat Cailin is a fortress of moss-covered ruins and murder, perched on the Neck like a gate of ancient teeth. Built by the First Men to defend the North, its crumbling towers remain nearly impassable. Any army seeking to march from the South must pass through its narrow causeways, where a handful can fell legions. Held by ironborn, taken by trickery, and reclaimed by the Starks, Moat Cailin is not merely a fortification—it is a line drawn in blood, a last breath before the North.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Moat_Calin.png
Mole's Town,LOC028,1242,3507.6,"Nestled in the shadow of Castle Black, Mole’s Town is a crooked hamlet of brothels, ale, and whispers. Its tunnels dig beneath the frost, hiding secrets and sinners alike. Though small and squalid, it served as both release and refuge for brothers of the Watch and Wildlings alike. When the Night’s Watch fell into turmoil, and the dead rose beyond the Wall, Mole’s Town was swept away like kindling, its fire doused in icy shadow.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Moles_Hill.png
Myr,LOC029,2045,1784.1,"Myr glows with fire and forge, a city where craft is king and smoke crowns the sky. Renowned for its masterwork—lace, glass, and fine steel—it is a place where beauty is born in heat and hammered into form. Crossbowmen from Myr are deadly, and its artisans deadlier still, weaving wonders and weapons alike. Though its streets are lined with color, gold flows behind closed doors, fueling guild rivalries and quiet wars. In Myr, every masterpiece has a maker—and a price.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Myr.png
Norvos,LOC030,2258,2304.7,"Norvos rises on high stone terraces, a city carved from cliffs and shadowed by bells. Stern and secretive, it is ruled not by kings, but by bearded priests who speak for the city's god with axe and edict. Its people are devout and disciplined, their lives bound by ritual and fear. The Great Bell tolls above them all, its voice a summons, a warning, a command. In Norvos, faith is law, and obedience is survival.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Norvos.png
Oxcross,LOC031,796.5,2249,"Oxcross lies in the Westerlands, a fertile plain turned graveyard. During the War of the Five Kings, Robb Stark outmaneuvered the Lannister host by taking this unguarded path, striking swift and hard under cover of forest. It was here that the Young Wolf's legend grew, where steel flashed in the night and Tywin Lannister's confidence was shaken. Though a simple patch of land, Oxcross became a symbol—of strategy, surprise, and the brittle nature of power.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Oxcross.png
Pentos,LOC032,1926.1,2113,"A wealthy Free City on the western coast of Essos, Pentos is a land of opulence and intrigue. Its red-bricked palaces overlook the Summer Sea, while merchant princes rule through wealth and cunning rather than steel. Though bound by trade pacts and uneasy alliances, the city's prosperity is shadowed by the sacrifices demanded by its customs—once, the lives of maidens to appease their gods. It was here that Daenerys Targaryen began her fateful journey, sold into marriage by her brother Viserys, setting in motion a saga that would shake the world.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Pentos.png
Qarth,LOC033,4441,1127,"""The greatest city that ever was or will be,"" Qarth lies at the edge of the Red Waste, a jewel of culture and magic surrounded by desert death. Its triple walls—each more ornate than the last—protect a society of traders, mystics, and deceivers. The ruling Pureborn dwell in splendor, while the enigmatic warlocks of the House of the Undying whisper secrets through blue lips. It was here that Daenerys sought allies and was betrayed, nearly succumbing to dark visions in the depths of the House of the Undying.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Qarth.png
Red Waste,LOC034,4239,1501,"A scorched, barren expanse of sun-baked earth and parching winds, the Red Waste tests the will of any who dare cross it. Few survive its cruel sands without a guide, and none escape unchanged. Following the death of Khal Drogo, Daenerys led her khalasar through this wasteland, enduring starvation, thirst, and despair until salvation arrived in the form of Qarth’s glimmering gates.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Red_Waste.png
Riverlands,LOC035,1110,2491.7,"The heart of Westeros, the Riverlands are a realm of rolling hills, fertile rivers, and deep-seated vengeance. Controlled by House Tully of Riverrun, the region has borne the brunt of countless wars, from Aegon’s Conquest to the War of the Five Kings. It is a land where loyalty is tested, and betrayal often blooms beside banners. The Red Wedding, one of the realm’s most infamous massacres, took place within these war-torn lands.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Riverlands.png
Riverrun,LOC036,1016.8,2375,"Seat of House Tully, Riverrun sits at the confluence of the Red Fork and Tumblestone rivers. A fortress of red stone and cascading water, it has long stood as a bastion of honor and family. During the War of the Five Kings, it served as a key stronghold for Robb Stark and his bannermen. Later besieged by Lannister forces, the castle’s fate swayed with the tides of war, but its legacy as a symbol of the Riverlands’ proud resistance endures.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Riverland.png
Robb Stark's camp,LOC037,1034,2410.8,"A mobile command post during the War of the Five Kings, Robb Stark’s camp moved with the Young Wolf’s army through the Riverlands and Westerlands. Tents of direwolf banners and makeshift strategy halls bore witness to bold decisions and ill-fated romances. It was within these campfires that Robb forged his legend—and ultimately, sealed his doom through love and defiance of oath.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Robbs_Camp.png
Roseroad,LOC038,1006.7,1931,"The main highway between King’s Landing and Highgarden, the Roseroad winds through fertile lands and lush meadows, its very name evoking the beauty of the Reach. It serves as a vital artery for trade and military movement. During the wars that wracked the realm, it bore the tramp of marching armies and the ashes of burned villages, yet in peacetime, it remains a corridor of wealth and splendor.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Rose_Road.png
Skagos,LOC039,1560,3568.3,"Skagos looms like a jagged tooth from the Shivering Sea, a harsh and haunted island off the coast of the North. Its cliffs are sheer, its forests deep, and its people feared—known for their savagery, and whispered to be cannibals. Unicorns are said to roam its wild interior, though few dare to seek them. Though sworn to House Stark, the Skagosi bow only in name, clinging to old gods and older grudges. In Skagos, the land itself is a warning: cold, cruel, and carved from myth.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Skagos.png
Storm's End,LOC040,1500.1,1878,"A fortress forged in defiance of nature itself, Storm’s End rises above the narrow peninsula facing Shipbreaker Bay. Its walls are a marvel of engineering and magic, said to have been raised by the legendary Bran the Builder. Home to House Baratheon, it has withstood centuries of sieges and storms alike. During the War of the Five Kings, it became a stage for ambition and sacrifice as Stannis Baratheon claimed it as his base of power, his path darkened by sorcery and shadow.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Storms_End.png
Tarth,LOC041,1600.1,1904,"Tarth, the Sapphire Isle, gleams where the Stormlands meet the sea, its cliffs kissed by spray and crowned with green. Named for the waters that surround it—blue as gemstones and just as deep—Tarth is a place of beauty and strength. Its people are proud, its knights honorable, and its mountains rich with ore. Yet behind its radiant shores lies a legacy of storms and solitude. Here was born Brienne the Beauty, fierce and true, a daughter of Tarth with a lion’s heart and a sword that sings of justice.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Tarth.png
The Citadel,LOC042,716,1602.1,"The Citadel is the headquarters of the maesters, who serve as scholars, healers, and advisors.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Citadel.png
The Crownlands,LOC043,1353,2193.5,"The Crownlands stretch from the Blackwater Rush to the shores of the Narrow Sea, a heartland forged in fire and ruled from iron. Centered around King’s Landing, they beat with the pulse of power, where gold flows and blades whisper in the dark. Once the domain of dragonlords, the land still remembers Aegon’s conquest—his landing at Dragonstone, his march of flame. Fields, forests, and fishing villages serve the throne, but loyalty here is bought, not born. In the Crownlands, every road leads to rule, and every shadow hides a crown.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Crownlands.png
The Eyrie,LOC044,1381.2,2494,"Perched atop the Giant’s Lance in the Vale of Arryn, the Eyrie is a castle in the clouds, accessible only by a treacherous mountain path. Known for its impregnable position and the Moon Door—a drop to death for condemned prisoners—the Eyrie reflects the aloofness and pride of House of Arryn. Here, Lysa Arryn ruled with fear and madness, and the trials of Tyrion Lannister began his fateful journey.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Eyree.png
The Fist of the First Men,LOC045,1029,3714.9,"a legendary and strategic location north of the Wall, often referenced in the Night’s Watch’s expeditions.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Fist_of_the_First_Men.png
The Gift,LOC046,1267,3517.7,"A swath of fertile land south of the Wall, the Gift was bestowed upon the Night’s Watch by House Stark in ages past. Once tilled by free folk in service of the Watch, it has long lain fallow, as the Watch’s numbers dwindled and the wildlings encroached. The land remains a somber reminder of honor unheeded and duty long forgotten.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Gift.png
The Haunted Forest,LOC047,1176,3770.5,"The Haunted Forest stretches endless and ancient beyond the Wall, a vast expanse of shadowed trees and silent snow. Beneath its canopy, the wind speaks in whispers, and eyes gleam where no beasts should be. It is home to wildlings, giants, and darker things—forgotten by time, remembered only in fear. The Night’s Watch patrol its edges, but even they do not tread too deep. For in the Haunted Forest, the trees remember, the dead walk, and the cold itself seems to hunger.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/Haunted_Forest.png
The Narrow Sea,LOC048,1712,2249.1,"A restless expanse that separates Westeros from Essos, the Narrow Sea is more than a mere stretch of water—it is a crucible of cultures, trade, and conquest. Its ports bustle with ships bearing silks, spices, and secrets. Daenerys Targaryen’s dragons would soar over it on their journey to reclaim a throne, and countless lords, pirates, and exiles have found fortune or death upon its waves.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Narrow_Sea.png
The Reach,LOC049,1009,2041.9,"The Reach blooms like a garden beneath golden sun, a land of rolling hills, rich harvests, and ancient halls. It is the heart of chivalry in Westeros, where knights ride beneath banners of flowers and song lingers in every breeze. Ruled from Highgarden by House Tyrell, its wealth flows in grain and beauty, feeding both kings and wars. Yet beneath its splendor lies ambition, sharp as any sword. For in the Reach, roses bear thorns, and the sweetest fruit often hides the fiercest seed.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Reach.png
The Shadow Lands,LOC050,6023,662,"The Shadow Lands rise twisted and terrible beyond Asshai, a realm where the earth itself seems cursed. Mountains black as obsidian claw at a sky forever shrouded in ash, and no birds sing in their skies. Strange beasts prowl the gloom, and glowing stones light paths few dare to tread. It is said dragons were born here, where magic pulses strong and wild, and shadows have minds of their own. The brave who enter seldom return—those who do, return changed. For in the Shadow Lands, even light must obey the dark.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Shadowlands.png
The Shadow Sea,LOC051,6311,581.1,"The Shadow Sea lies cold and black beyond the eastern edge of the known world, where maps fade and legends take hold. Its waters are still, yet heavy with dread, said to reflect no stars and swallow sound. Few dare sail its depths, for ships vanish like whispers, and monsters are said to stir beneath its glassy surface. East of Asshai, where shadow and sea meet, the world unravels into myth. In the Shadow Sea, the edge of the earth is not a fall—but a drowning.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Shadow_Sea.png
The Stormlands,LOC052,1333,1890.2,"The Stormlands rise rugged and relentless, where sea meets cliff in a thunderous clash. Forged in fury, this is a land shaped by storms and ruled by those who do not break. From the ancient halls of Storm’s End, House Baratheon held sway—lords as tempestuous as the land itself. Rain lashes its coasts, and wind howls through its forests, but its people endure, bold and unbending. Here, every storm is a test, and only the strong are left standing when the skies clear.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Sormlands.png
The Trident,LOC053,1196,2395.7,"The Trident winds through the heart of Westeros, a mighty river where kingdoms have risen and fallen in its muddy waters. Its three great forks—Red, Blue, and Green—converge in a current that carries both life and legacy. Here, Rhaegar Targaryen fell beneath Robert’s warhammer, and the crown slipped from dragon to stag. The Trident feeds fields and cities, but it also drinks blood, for every ripple remembers rebellion. In its flow, the realm’s fate is forever written, and often rewritten in war.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Trident.png
The Twins,LOC054,1065,2587.7,"Straddling the Green Fork of the Trident, the Twins are the ancestral seat of House Frey, a house known more for ambition than honor. The two identical towers, connected by a stone bridge, form a vital crossing and a strategic stronghold. Though mocked for their upjumped lineage, the Freys gained infamy during the Red Wedding, a massacre that altered the course of the War of the Five Kings. The Twins now stand not only as a physical crossing but as a symbol of treachery cloaked in hospitality.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Twins.png
The Vale,LOC055,1489,2517,"Encircled by the towering peaks of the Mountains of the Moon, the Vale of Arryn is a realm of isolation and serenity, ruled from the sky-piercing castle of the Eyrie. Known for its chivalric traditions and pure-blooded nobility, the Vale has remained aloof from many of the realm’s conflicts. Yet, beneath its pristine snows and steep trails lies a land of political maneuvering and deadly ambition. The Knights of the Vale are among the finest horsemen in Westeros, and their late entry into the wars of the realm often turns tides.",https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/location/The_Vale.png
